Sample,,,,,,,AcylCarn 12:0 Results,AcylCarn 14:0 Results,AcylCarn 16:0 Results,AcylCarn 16:0-d3 (IS) Results,AcylCarn 18:0 Results,AcylCarn 18:1 Results,AcylCarn 18:2 Results,BMP 28:0 (IS) Results,BMP 34:1 [16:0] Results,BMP 34:1 [18:1] Results,BMP 40:6 [18:0] Results,BMP 40:6 [22:6] Results,BMP 40:8 [18:2] Results,BMP 40:8 [22:6] Results,BMP 44:12 [22:6] Results,CE 16:0 Results,CE 16:1 Results,CE 18:0 Results,CE 18:0-d6 (IS) Results,CE 18:1 Results,CE 18:2 Results,CE 18:3 Results,CE 20:3 Results,CE 20:4 Results,CE 20:5 Results,CE 22:4 Results,CE 22:5 Results,CE 22:6 Results,CE 24:4 Results,CE 24:5 Results,Cer d16:1/22:0 Results,Cer d16:1/23:0 Results,Cer d16:1/24:0 Results,Cer d17:1/24:0 Results,Cer d18:0/08:0 (IS) Results,Cer d18:0/22:0 Results,Cer d18:0/23:0 Results,Cer d18:0/24:0 Results,Cer d18:0/24:1 Results,Cer d18:1/12:0 (IS) Results,Cer d18:1/16:0 Results,Cer d18:1/18:0 Results,Cer d18:1/22:0 Results,Cer d18:1/23:0 Results,Cer d18:1/24:0 Results,Cer d18:1/24:1 Results,Cer d18:1/25:0 Results,Cer d18:2/22:0 Results,Cer d18:2/23:0 Results,Cer d18:2/24:0 Results,Cer d18:2/24:1 Results,Cer d19:1/22:0 Results,Cer d19:1/23:0 Results,Cer d19:1/24:0 Results,Cer d19:1/24:1 Results,Cer m18:0/22:0 Results,Cer m18:0/23:0 Results,Cer m18:0/24:0 Results,Cer m18:0/24:1 Results,Cer m18:1/12:0 (IS) Results,Cer m18:1/22:0 Results,Cer m18:1/23:0 Results,Cer m18:1/24:0 Results,Cer m18:1/24:1 Results,COH Results,COH-d7 (IS) Results,DG 30:0 -15:0 (IS) Results,DG 32:0 -16:0 Results,DG 32:1 -16:0 Results,DG 32:1 -16:1 Results,DG 34:1 [-16:0] Results,DG 34:1 [-18:1] Results,DG 34:2 [-16:0] Results,DG 34:2 [-16:1] Results,DG 34:2 [-18:1] Results,DG 34:2 [-18:2] Results,DG 36:1 [-18:0] Results,DG 36:1 [-18:1] Results,DG 36:2 [-18:0] Results,DG 36:2 [-18:1] Results,DG 36:2 [-18:2] Results,DG 36:3 [-18:1] Results,DG 36:3 [-18:2] Results,DG 36:4 [-18:2] Results,DG 36:4 [-20:4] Results,DG 38:4 [-20:4] Results,DG 38:5 [-20:4] Results,DG 38:6 [-20:4] Results,GM3 d18:1/16:0 Results,GM3 d18:1/18:0 Results,GM3 d18:1/18:0-d3 (IS) Results,GM3 d18:1/22:0 Results,GM3 d18:1/24:0 Results,Hex1Cer d18:1/12:0 (IS) Results,Hex1Cer d18:1/16:0 Results,Hex1Cer d18:1/22:0 Results,Hex1Cer d18:1/24:0 Results,Hex1Cer d18:1/24:1 Results,Hex1Cer d18:2/24:0 Results,Hex2Cer d18:1/12:0 (IS) Results,Hex2Cer d18:1/16:0 Results,Hex2Cer d18:1/22:0 Results,Hex2Cer d18:1/24:0 Results,Hex2Cer d18:1/24:1 Results,Hex3Cer d18:1/16:0 Results,Hex3Cer d18:1/18:0-d3 (IS) Results,Hex3Cer d18:1/22:0 Results,Hex3Cer d18:1/24:0 Results,LPC 13:0 (IS) Results,LPC 14:0 Results,LPC 15:0 Results,LPC 16:0 Results,LPC 16:1 Results,LPC 17:0 Results,LPC 18:0 Results,LPC 18:1 Results,LPC 18:2 Results,LPC 18:2-d9 Results,LPC 18:3 Results,LPC 20:1 Results,LPC 20:3 Results,LPC 20:4 Results,LPC 20:5 Results,LPC 22:5 Results,LPC 22:6 Results,LPC-O 16:0 Results,LPC-O 18:1 Results,LPC-O 22:6 Results,LPC-P 16:0 Results,LPC-P 18:0 Results,LPC-P 18:1 Results,LPE 14:0 (IS) Results,LPE 16:0 Results,LPE 18:0 Results,LPE 18:1 Results,LPE 18:2 Results,LPE 20:4 Results,LPE 22:6 Results,LPE-P 16:0 Results,LPE-P 18:0 Results,LPG 14:0 (IS) Results,LPG 16:0 Results,LPG 17:0 Results,LPG 18:0 Results,LPG 18:1 Results,LPG 18:2 Results,LPG 20:4 Results,LPG 22:6 Results,LPI 16:0 Results,LPI 17:1 (IS) Results,LPI 18:0 Results,LPI 18:1 Results,LPI 18:2 Results,LPS 14:0 Results,LPS 16:0 Results,LPS 17:1 (IS) Results,LPS 18:0 Results,LPS 18:1 Results,LPS 18:2 Results,LPS 20:4 Results,LPS 22:6 Results,LSM 16:0 Results,LSM 18:0 Results,LSM 18:1 Results,LSM 18:1-d7 (IS) Results,LSM 18:2 Results,LSM 20:4 Results,PC 26:0 (IS) Results,PC 32:0 Results,PC 32:1 Results,PC 34:1 Results,PC 34:2 Results,PC 36:0 Results,PC 36:1 Results,PC 36:2 Results,PC 36:3 Results,PC 36:4 Results,PC 38:4 Results,PC 38:5 Results,PC 38:6 Results,PC 40:6 Results,PC 40:7 Results,PC 40:8 Results,PC-O 32:0 Results,PC-O 34:1 Results,PC-O 38:6 Results,PC-P 32:0 Results,PC-P 34:2 Results,PC-P 36:1 Results,PC-P 36:3 Results,PC-P 36:4 Results,PC-P 38:6 Results,PE 34:0 (IS) Results,PE 34:1 Results,PE 34:2 Results,PE 36:1 Results,PE 36:2 Results,PE 36:3 Results,PE 36:4 Results,PE 38:4 Results,PE 38:5 Results,PE 38:6 Results,PE 40:6 Results,PE-P 16:0/18:1 Results,PE-P 16:0/18:2 Results,PE-P 16:0/20:4 Results,PE-P 16:0/20:5 Results,PE-P 16:0/22:6 Results,PE-P 18:0/18:1 Results,PE-P 18:0/18:2 Results,PE-P 18:0/20:4 Results,PE-P 18:0/20:5 Results,PE-P 18:0/22:6 Results,PE-P 18:1/20:4 Results,PE-P 18:1/22:6 Results,PG 34:0 (IS) Results,PG 34:1 Results,PG 35:1 Results,PG 36:0 Results,PG 36:1 Results,PG 36:3 Results,PG 40:6 Results,PG 40:8 Results,PG 44:12 Results,PI 25:0 (IS) Results,PI 34:1 Results,PI 34:2 Results,PI 36:1 Results,PI 36:2 Results,PI 36:3 Results,PI 36:4 Results,PI 38:4 Results,PI 38:5 Results,PI 38:6 Results,PI 40:5 Results,PI 40:6 Results,PS 34:0 (IS) Results,PS 34:1 Results,PS 36:1 Results,PS 36:2 Results,PS 38:3 Results,PS 38:4 Results,PS 38:5 Results,SM 30:1 (IS) Results,SM 32:0 Results,SM 32:1 Results,SM 32:2 Results,SM 33:1 Results,SM 34:0 Results,SM 34:1 Results,SM 34:2 Results,SM 36:0 Results,SM 36:1 Results,SM 36:2 Results,SM 38:1 Results,SM 38:2 Results,SM 40:1 Results,SM 40:2 Results,SM 41:1 Results,SM 42:1 Results,SM 42:2 Results,SM 42:3 Results,Sph d17:0 (IS) Results,Sph d17:1 (IS) Results,Sph d18:0 Results,Sph d18:1 Results,TG 36:0 [-12:0] (IS) Results,TG 48:1 [-14:0] Results,TG 48:1 [-16:0] Results,TG 48:1 [-16:1] Results,TG 48:1 [-18:1] Results,TG 48:2 [-14:0] Results,TG 48:2 [-16:0] Results,TG 48:2 [-16:1] Results,TG 48:2 [-18:1] Results,TG 48:2 [-18:2] Results,TG 50:1 [-16:0] Results,TG 50:1 [-18:1] Results,TG 50:2 [-16:0] Results,TG 50:2 [-16:1] Results,TG 50:2 [-18:1] Results,TG 50:2 [-18:2] Results,TG 50:3 [-16:0] Results,TG 50:3 [-16:1] Results,TG 50:3 [-18:1] Results,TG 50:3 [-18:2] Results,TG 52:1 [-16:0] Results,TG 52:1 [-18:0] Results,TG 52:1 [-18:1] Results,TG 52:2 [-16:0] Results,TG 52:2 [-18:0] Results,TG 52:2 [-18:1] Results,TG 52:2 [-18:2] Results,TG 52:3 [-16:0] Results,TG 52:3 [-18:1] Results,TG 52:3 [-18:2] Results,TG 52:4 [-16:0] Results,TG 52:4 [-16:1] Results,TG 52:4 [-18:1] Results,TG 52:4 [-18:2] Results,TG 52:5 [-16:0] Results,TG 52:5 [-16:1] Results,TG 52:5 [-18:2] Results,TG 52:5 [-18:3] Results,TG 54:2 [-18:0] Results,TG 54:2 [-18:1] Results,TG 54:3 [-18:0] Results,TG 54:3 [-18:1] Results,TG 54:3 [-18:2] Results,TG 54:4 [-18:1] Results,TG 54:4 [-18:2] Results,TG 54:5 [-18:1] Results,TG 54:5 [-18:2] Results,TG 54:5 [-18:3] Results,TG 54:6 [-18:3] Results,TG 54:6 [-20:4] Results,TG 54:6 [-20:5] Results,TG 54:7 [-18:2] Results,TG 54:7 [-18:3] Results,TG 56:5 [-20:4] Results,TG 56:6 [-20:4] Results,TG 56:6 [-22:4] Results,TG 56:7 [-20:4] Results
,,Name,Data File,Type,Level,Acq. Date-Time,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area
!,!,dilution 20A,dilution 20A.d,Sample,,26/2/2024 13:31,417,1604,1790,4020672,4674,1578,65748,3094,870,516,94,7,10,4,8,547,18,2188,94421,733,79,11,27,26,124,8,49,38,5,23,403,242,1062,1186,294732,352,38,35,89,1865958,18634,4746,4179,644,11780,7217,1065,960,171,2260,921,187,9,385,30,15,8,10,48,2207662,192,8,346,121,6649,122613,591899,8510,721,5886,12785,14329,5033,4149,1895,7196,4187,4095,1455,31223,2782,9539,11620,14177,31,108,45,26,1122,326,11363,535,943,785299,5549,2497,4835,2631,639,605134,1350,197,725,655,266,28415,228,178,2406968,1430,1192,22952,1002,1014,49757,13016,700,41420,224,2420,10666,69690,1454,253,236,1786,274,1623,219,222,950,227954,521,293,1806,6,33,33,46,165,402,10,17,35,42,4,11,16,16,46,39,32,18,45,37,144367,108,288,51,10,20,381,180,657,14,32,78,3847302,63167,3057256,5523025,1040593,152735,1629379,2346935,53667,20455,3093,9558,7646,1594,4954,78,17414,236241,1663,19664,15702,64954,2415,1932,1283,444481,144368,91258,224721,405350,8405,303,10315,2019,1627,890,90834,4745,2641,646,1636,55038,4011,2655,702,1960,1198,365,54155,13536,70,340,3994,204,50,3,16,15052,14539,3325,27723,100828,1979,379,19299,1900,364,1724,138,117899,121802,86250,122648,117,3937,1227,2252404,2496,21452,616,2738,20596,361674,12701,1939,62468,25550,9543,2610,25438,98373,2988,39210,49942,5196,1357100,2541355,338,8033,1408772,26063,63473,25680,32036,6971,15113,23723,13946,4128,337980,150441,203732,50409,77066,61788,16583,19129,12955,12755,32308,15217,49262,427338,5685,712380,15818,14913,317171,21855,247483,11721,35611,363651,34382,4286,33111,33820,23837,85454,14404,1099847,28238,33019,34374,380767,41044,4496,4519,23,35,97940,66276,9,599,36,16
!,!,dilution 20B,dilution 20B.d,Sample,,26/2/2024 20:35,518,1653,2948,3800614,4447,1803,64002,3081,1149,344,44,31,2,3,7,288,83,1482,81976,541,83,36,40,17,32,18,45,111,37,112,592,294,1331,873,279327,277,86,533,109,1867504,18438,4708,3573,860,11284,7066,1245,1164,15,2260,806,206,10,393,42,19,33,39,21,2179731,243,7,218,237,5613,116287,579920,10804,947,4806,12013,14700,4819,4003,2200,5820,3833,4460,1322,30744,2237,11025,12568,13499,13,218,125,21,882,491,10366,325,668,787978,5600,2239,4640,2324,416,596479,1811,163,753,546,204,31273,67,188,2358593,1846,1016,20953,1497,1080,50305,11793,717,40892,154,2459,11143,69370,1455,87,348,1364,336,1239,261,334,865,234155,374,256,1518,15,66,31,10,144,77,20,76,100,109,36,4,6,108,77,126,7,5,112,118,149150,79,247,100,56,19,368,162,630,40,100,90,3726009,63748,2977163,5364389,1003178,150308,1572583,2297482,56600,19671,3439,8403,8084,1039,4591,40,15430,224840,1872,16865,14956,67359,2572,2084,1432,423534,146657,88212,220290,401662,9396,175,10061,2742,1314,592,92375,5045,2433,787,1893,51260,4279,3238,523,1976,1023,553,49669,14226,74,370,3872,117,151,20,3,14887,14830,3027,29488,97997,1938,312,16773,1696,205,1897,43,100866,104694,77206,102839,86,3445,919,2218773,2360,20704,614,2403,25447,351175,11702,3830,67027,24850,10331,1931,22460,96301,2063,37500,50734,5459,1311376,2463993,650,8837,1376700,28367,63452,22769,28943,8020,16156,23438,11637,3207,338728,154017,198376,50527,79188,63809,15989,20351,12340,12649,28640,13947,46363,410941,4524,705139,17007,15643,310221,21402,245720,11597,36511,373539,33352,4639,34554,33071,21983,82126,14947,1114393,28791,30602,37433,383889,40078,4014,4676,356,101,97773,67427,240,576,12,441
!,!,dilution 40A,dilution 40A.d,Sample,,26/2/2024 13:48,817,4968,3294,8456686,4587,3398,124509,6336,1188,1059,32,13,11,12,27,951,33,2548,315822,786,32,56,146,21,15,87,22,35,17,143,441,196,1498,1412,625458,232,402,509,29,3786107,35720,8868,8263,1305,21871,14192,1196,1895,53,5068,2104,209,17,415,8,19,105,23,16,5153581,475,3,515,259,12395,208349,1283895,10273,1048,6945,15084,22562,5533,4489,3622,8146,6077,6133,2006,42782,2947,8815,11003,14048,28,325,208,26,2316,603,22277,950,1436,1602373,10995,5026,9289,4799,1144,1203539,4012,703,1430,1165,332,64159,145,505,5001940,3635,1834,33163,2637,1287,72764,24429,1118,84301,166,5182,22821,147149,3446,580,156,2609,789,2497,441,616,2215,447208,894,497,3010,33,141,32,83,404,550,77,15,38,62,63,7,51,14,100,22,10,2,221,64,268695,874,448,5,33,54,1054,193,1182,15,23,151,8441794,133682,8129808,11840607,2119774,310290,3338325,4871528,109277,40411,7004,17587,24776,2329,11841,61,34162,471741,4478,37645,31421,139346,4249,3913,4682,880866,297289,181294,471375,810843,17328,1189,19850,4485,5353,1342,186055,9590,5772,1589,3175,106774,9142,4998,1529,3651,1833,1578,101659,38503,239,547,8010,192,107,27,14,29912,29799,6052,58798,275134,4633,1000,47097,2899,521,4128,322,208320,309399,175912,344031,515,10121,1207,4954070,4883,45421,1527,5124,51736,822575,25246,6263,132581,80875,19100,6266,49975,210587,4857,81223,101104,11353,2745004,5199167,1041,15535,2863411,31948,65345,24670,30407,9237,16206,27456,15125,4770,346789,151327,213172,54124,84332,63333,17728,23000,12905,12526,29934,14799,51235,432638,4912,750602,16733,14257,313593,21181,233340,11733,33049,377360,36491,3745,32311,31531,23232,81276,14274,1101035,28344,30045,33878,381863,37792,4490,4066,76,126,98682,64363,22,592,67,186
!,!,dilution 40B,dilution 40B.d,Sample,,26/2/2024 20:18,1223,2267,3909,8185460,5324,3715,120418,6791,1688,946,116,7,1,1,24,438,16,2018,295203,534,90,93,38,215,22,6,30,78,21,26,486,268,1162,1309,618204,116,209,37,27,3754870,38558,9208,7142,1003,20458,14302,1192,1412,41,4563,2258,247,15,567,9,24,14,11,15,5073682,205,29,530,178,12094,214208,1294021,10204,990,7408,17106,21108,5567,6054,3799,7877,5704,6364,2312,41395,2159,11010,9290,13089,36,374,125,15,2007,1055,23342,861,1594,1623819,10058,5268,9402,4862,1317,1194876,3539,648,1707,1396,423,59802,122,413,4869150,3002,1742,34102,2386,2036,71149,23481,1834,82163,155,4800,20608,141389,2674,510,398,2777,578,2450,291,937,2189,431475,967,355,2941,38,47,31,30,339,908,62,11,236,62,65,11,8,27,49,42,20,4,150,148,276875,191,246,50,59,20,750,480,1451,38,30,138,8307815,135085,7621318,11672973,2145758,311124,3289119,4827869,109961,40546,7095,18416,21003,1980,12373,25,30837,461263,2709,36111,29976,136053,4302,3899,5311,865577,292444,179550,476449,808724,19485,1135,19604,4918,5042,1739,179373,9316,5400,1763,3307,102465,8206,6324,1451,3476,1971,1404,99497,39956,137,709,8134,359,156,14,2,30891,29830,5449,61669,274207,4064,1160,46147,3666,273,4437,174,207980,312339,165768,285951,590,8506,1139,4906559,4868,44715,1434,5272,48352,837339,22813,7460,132500,77150,18911,5404,48591,213782,4711,78874,101139,11272,2582725,4918655,957,19240,2823935,28642,63862,23464,32221,10137,16973,24073,16543,4180,345206,150666,202821,50819,84147,57351,16347,22757,13978,12523,29686,14347,49595,413880,4576,726533,16834,9369,302845,22153,236181,10286,32482,357596,35374,3788,30768,32129,22338,83133,14640,1066012,28658,30265,33675,368223,40347,4003,4063,24,81,95785,63039,181,293,18,259
!,!,dilution 60A,dilution 60A.d,Sample,,26/2/2024 14:05,1398,5319,5834,13207854,4780,6683,182347,9808,1642,1756,97,13,10,13,9,1382,134,3519,622366,825,968,186,27,11,110,15,114,56,20,30,659,274,1603,1617,990417,205,95,37,16,5798621,59343,13445,10565,1460,30670,20970,1403,2952,11,7322,2893,146,19,646,10,36,44,159,22,8545672,591,18,698,364,13922,270124,2198675,13286,646,8467,21452,27573,4751,8633,5688,8647,7901,9422,2380,55637,2826,8299,8598,15517,45,461,159,12,2993,1141,33205,1057,2831,2425526,18225,6875,13439,7167,1519,1814322,6918,841,2528,1980,636,92334,253,639,7812250,5237,2677,46903,3910,1610,91168,35119,1652,125990,76,8336,32596,216018,3752,370,185,4804,1120,4833,909,952,3203,626817,877,477,4880,59,191,23,14,511,624,132,47,22,17,23,18,7,13,45,70,22,20,111,175,375616,552,754,32,23,50,823,703,1658,139,88,87,14268699,220839,14315627,19806964,3318734,487067,5170310,7683664,161918,64478,11978,25575,40267,4629,18558,117,50724,733500,5745,57307,47175,207141,7222,5479,10618,1306412,448050,288176,746704,1241904,25754,2827,30276,7335,8141,1683,282707,13389,8222,2225,5358,162659,13638,8853,2850,5624,2878,2050,151425,71662,421,1390,12728,586,314,7,2,45755,46929,9472,91829,454194,5199,1257,74237,5109,622,8604,140,327049,511878,279884,570048,901,17184,2202,8101794,7308,68242,2624,9181,82200,1347443,37996,13067,211279,147228,28516,8610,74989,355984,8003,125514,160364,16971,4006082,7634688,907,30742,4386299,33647,73467,26911,35688,8991,17083,28839,16811,3482,356039,159663,208688,56338,89534,58778,17030,21724,14530,11953,30760,16004,49591,438953,5381,768198,15807,16069,317216,22189,231346,11837,35161,356223,36186,3262,30716,34468,21581,82855,14022,1076248,27472,17332,34531,367714,38740,4047,3486,284,45,94044,63452,86,556,11,225
!,!,dilution 60B,dilution 60B.d,Sample,,26/2/2024 20:01,1660,4487,4000,12904416,4991,5623,187202,9140,1716,1825,209,38,8,10,3,1238,26,3531,554644,769,803,90,107,14,26,7,51,133,6,106,592,374,1906,1498,963989,131,201,29,40,5839541,57160,13668,10417,1358,29876,22539,1339,2787,111,6557,2807,258,31,448,9,9,47,29,8,8164226,460,160,695,313,13874,275887,2144916,12939,5911,9018,21242,28966,5101,7843,6154,7961,8626,8584,2440,52351,2446,8997,8767,14402,36,409,264,24,3166,936,33016,1372,2758,2452506,15832,7104,13733,7700,1843,1803330,7383,1041,2011,2013,1007,93918,274,477,7669908,5109,2416,45766,3624,2589,91223,36306,1647,127313,157,8149,31331,209293,4406,757,749,4034,885,5057,537,947,3077,629103,813,485,4384,19,314,87,14,645,952,54,165,200,78,18,14,12,16,32,162,22,7,281,124,383451,795,567,33,48,94,1227,679,1526,56,60,244,13945498,202936,13339945,19449016,3285411,473180,4971968,7548153,156209,64074,11436,25938,38812,2955,19614,280,50319,702405,5637,55197,46943,202437,8064,4085,9702,1295829,435049,280714,732840,1225148,24478,2223,29036,6068,7528,1982,280221,13962,8353,2238,5094,162575,11348,8859,1709,5364,2857,1888,146938,68777,325,1014,12146,533,290,6,5,46658,47517,9199,87696,461714,5622,1180,72834,5299,574,7901,627,324596,526872,258040,494883,636,12911,1464,7847781,6674,69294,2737,8500,87450,1401378,38129,13569,214447,141054,28180,7364,74204,333627,7622,119422,156504,17099,3906709,7494812,870,26901,4285108,33203,67868,24750,33936,9237,14679,27341,15449,3917,348998,157259,209856,55480,88465,59479,14962,20809,12784,11417,29378,16633,49193,423360,4338,740039,14917,14068,307345,19734,226995,11607,31558,348957,35872,4296,30398,32029,21190,80437,14919,1063877,27341,28801,32856,355876,36806,4559,3554,25,102,87650,66279,77,288,60,9
!,!,dilution 80A,dilution 80A.d,Sample,,26/2/2024 14:22,1394,10038,7052,17706059,5798,7872,244473,11990,3215,1807,62,8,27,9,8,269,45,3271,884501,655,58,125,9,35,87,32,54,239,26,95,820,258,2026,1772,1331761,479,342,115,97,7735750,80257,17052,13562,1724,39399,26829,1598,3854,119,9821,3836,332,14,640,2,29,14,37,4,12040351,524,51,962,527,17534,305412,3189283,13026,698,11018,27771,35489,4967,10164,6547,7977,11571,10064,1989,67764,2648,10386,10886,12520,56,541,791,7,4155,1254,46554,1445,3610,3332417,22707,9580,19221,9957,2485,2418484,9959,1488,2875,2770,885,125855,522,654,10641895,6577,4190,57285,4412,2661,105249,46307,1861,173641,494,10768,44894,285750,4554,1510,446,5834,1564,6009,914,1417,6926,778902,1059,899,6471,7,104,284,18,803,1010,122,126,71,57,9,10,86,11,306,161,81,51,58,92,469984,617,802,20,15,82,1560,523,2034,64,221,331,21196939,303857,21757932,29164488,4421508,660440,7057448,10737522,221242,88079,16258,35363,62020,4143,26835,33,69227,971731,10742,77415,64421,281048,10055,7646,17801,1781285,605186,368249,1034931,1616294,35587,3362,39995,8101,11646,2762,373268,18079,10204,3367,6706,218587,15434,12025,3082,7317,3874,2508,197712,105745,748,1813,16507,360,257,5,4,59340,60710,11121,118947,604536,7228,1788,95487,6266,728,9810,411,422854,708394,369179,790272,960,24604,2504,11645219,9543,92425,3421,11376,125613,1981907,53087,17455,303460,215464,39901,12483,102376,472746,9530,168005,206191,23622,5154384,10044753,1436,41337,5973426,33956,73102,26301,38544,10549,17313,29412,19347,4512,356409,166454,209769,61675,97078,57370,16757,23838,15001,14261,32043,15393,55176,434263,5299,776985,15684,13766,319218,20597,224824,12204,34463,345350,34569,3364,29765,30928,22516,80397,14631,1064493,27425,31249,31827,369880,36866,3150,3621,423,115,90736,58849,33,363,75,464
!,!,dilution 80B,dilution 80B.d,Sample,,26/2/2024 19:44,1591,5352,5413,17571575,5577,7263,240868,12269,2621,1343,199,41,24,36,14,1413,275,4094,832077,865,104,40,16,37,43,20,33,164,9,15,1019,362,2160,1857,1314829,319,296,90,124,7622057,79518,17500,14049,1359,38407,27438,1411,3750,182,8743,4044,268,11,612,26,49,26,133,2,11761633,447,18,944,524,16410,298444,3009394,14247,944,12330,28271,34542,5017,9611,7313,8326,10253,10435,1930,63513,3096,10308,11766,14289,34,689,338,21,3870,1971,44334,1550,2977,3225156,22326,9013,18319,9983,2234,2393163,9272,1249,2934,2538,1045,128568,240,704,10499726,6512,3439,57570,5209,2310,105770,50077,2448,168398,378,11331,43947,275438,4613,1246,818,5393,1279,6553,826,1147,5535,786779,768,755,5519,56,268,138,31,765,1202,54,49,172,140,36,12,19,7,179,43,20,4,119,126,468021,511,822,69,46,80,1306,814,1740,24,24,207,20778291,281244,20920124,28731620,4453599,642739,6866682,10707013,215194,82536,14961,35828,65590,4832,29767,61,69394,936071,11777,77906,65947,281810,9886,6768,19606,1735013,584892,369372,1024555,1653352,34050,3005,40559,9592,11623,2619,369929,17654,10561,2662,7151,220956,17635,12156,2871,7014,4036,2939,197849,97746,95,1734,17933,600,490,64,19,60410,62202,11861,121371,618511,7673,2228,98069,6590,1039,9360,350,427079,729513,353211,724192,906,21960,2405,11566788,9129,90527,2920,11238,124463,1988588,51671,17995,293821,210699,41968,10900,101410,437421,11145,159476,206548,23294,5023571,9796885,1265,33578,5830446,33822,75110,26384,37664,9588,17787,30179,20322,3716,355613,163602,206291,59272,99369,59969,15228,24598,15865,12450,32547,15590,50943,435683,4928,770874,14691,13842,310887,19651,224358,11015,33388,339199,33736,4602,33648,31712,21468,78430,12783,1068700,26659,29014,32610,349164,40181,4167,3901,296,171,93985,62556,138,396,36,476
!,!,dilution 100A,dilution 100A.d,Sample,,26/2/2024 14:39,2467,9546,7560,23246101,4291,18450,305852,14943,3544,1970,66,25,3,10,2,909,64,3745,1138288,892,53,110,48,17,63,10,139,253,9,34,876,438,1771,1831,1617467,331,249,82,144,9850514,103683,22958,16071,1737,46856,35997,1537,4595,205,11181,4755,239,174,596,52,24,26,52,6,15397339,617,23,1208,733,18053,339498,4079775,16021,829,12734,32381,40601,5408,11343,8531,8210,12311,13209,2433,81265,2469,10698,11148,14852,176,553,422,26,4235,1840,55829,1900,3982,4124046,29798,11161,22975,11632,3028,3004976,12462,1763,3450,3207,992,160235,776,923,13584126,9344,5357,72112,6540,2886,118281,59463,2037,220005,388,13683,55028,355407,8045,1282,318,7237,1785,8335,1461,1900,6113,977037,1156,1488,6309,103,153,113,35,976,1141,119,187,70,56,17,28,15,16,384,249,15,111,61,80,552156,693,865,79,89,26,2054,1064,3411,50,24,447,28570705,382708,30143260,39261943,5826307,826679,8978485,14302678,277113,106977,20829,45002,84612,5172,35754,465,91225,1203624,15434,101009,86754,344345,14875,9169,26130,2209679,748141,472243,1317783,2047360,42854,4072,50755,11619,16367,3088,464814,20517,12889,3580,9002,277445,20985,13569,3503,8471,5337,3620,248117,128479,143,2124,20804,537,484,11,3,76063,78353,14048,144664,744758,8918,2182,117057,8347,957,11600,242,530570,882028,452450,932611,833,31659,4114,15798030,12673,114992,4374,14416,166638,2600531,62768,24681,387221,292616,51436,15044,128035,588167,12557,204371,263389,32398,6169854,12310723,1470,41816,7522634,39651,77201,29166,39230,10582,18657,31296,20757,4853,354860,164369,204293,64202,108425,59758,14809,21024,16079,12398,33089,17603,51886,438191,5136,792680,15459,9014,315693,18155,215881,10292,33533,338496,33824,3768,31484,31324,21772,82229,15164,1046540,26051,28490,31964,350093,36553,4220,3308,38,120,92382,60102,308,600,10,229
